	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Dopey2	0	-1.0	-1.0	-1.0	0	0	0	-1.0	0	-1.0	-1.0
Dpp4	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Dpy19l3	0	0	0	0	0	1.0	0	0	0	0	0
Dpysl5	0	0	0	0	0	0	0	0	0	0	-1.0
Drosha	0	1.0	0	0	0	0	0	0	0	0	0
Dscam	0	0	0	0	0	0	0	0	0	-1.0	0
Dthd1	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Dtnbp1	0	1.0	0	0	0	0	0	0	0	0	0
Dtx1	0	0	0	0	0	0	1.0	0	0	0	0
Dtx4	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Dusp5	0	0	0	0	0	0	0	0	0	0	-1.0
Dusp6	0	0	0	0	-1.0	0	0	-1.0	0	0	-1.0
Dusp8	0	0	-1.0	0	0	0	0	0	0	0	0
Dyrk2	0	0	0	0	0	0	0	-1.0	0	0	-1.0
Dyrk3	0	0	0	0	0	0	1.0	1.0	0	0	0
E2f8	0	0	0	0	0	0	0	1.0	0	0	0
Ebag9	1.0	0	0	0	0	0	0	0	0	0	0
Ece1	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Echdc3	0	-1.0	0	0	0	0	0	0	0	0	0
Eef2k	0	0	0	-1.0	-1.0	-1.0	0	0	0	0	0
Eepd1	0	0	0	0	0	0	0	1.0	0	0	0
Efna5	1.0	1.0	0	0	0	0	1.0	0	0	0	0
Ehd3	1.0	0	0	0	0	0	0	1.0	0	0	0
Eid3	0	0	0	-1.0	0	0	0	0	0	0	-1.0
Eif2d	0	1.0	0	0	0	0	0	1.0	0	0	0
Eif4ebp1	1.0	0	0	0	0	0	0	0	0	0	0
Elf1	0	0	0	0	0	1.0	1.0	0	0	0	0
Ell	0	0	0	-1.0	0	0	0	0	0	0	0
Elmo1	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0
Emp3	0	0	0	0	0	0	1.0	0	0	0	0
Enpp1	0	0	0	0	0	0	0	0	0	-1.0	0
Entpd1	0	0	0	0	0	0	0	0	0	-1.0	-1.0
Entpd3	0	0	0	0	0	0	1.0	0	0	0	0
Epas1	1.0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Epb4.1	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	0
Epb4.1l1	0	0	0	0	0	0	1.0	0	0	0	0
Epb4.1l4a	0	1.0	0	0	0	0	0	1.0	0	0	0
Epha4	0	-1.0	0	0	0	0	0	0	0	0	0
Ephb6	0	0	0	0	0	0	0	1.0	0	0	0
Erc1	0	0	0	0	0	0	1.0	0	0	0	0
Ern1	0	0	0	-1.0	0	0	0	0	0	0	0
Ero1l	0	0	0	0	0	1.0	0	0	0	0	0
Espn	1.0	0	0	0	0	0	0	1.0	0	0	0
Esrra	0	0	0	-1.0	0	0	0	0	0	0	0
Etnk2	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Ets1	0	-1.0	0	0	0	-1.0	0	-1.0	-1.0	-1.0	-1.0
Ets2	0	1.0	0	0	0	0	0	0	0	0	0
Etv3	1.0	0	0	0	0	0	0	0	0	0	0
Etv6	1.0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Evi5	1.0	1.0	0	0	0	0	0	0	0	0	0
Exoc4	1.0	0	0	0	0	0	0	1.0	0	0	0
Exoc6b	0	0	0	0	0	0	1.0	0	0	0	0
Exosc8	1.0	0	0	0	0	0	0	0	0	0	0
Eya1	0	0	0	0	0	0	0	-1.0	0	0	0
Ezh2	0	0	0	0	0	0	1.0	0	0	0	0
Ezr	0	-1.0	-1.0	0	0	0	0	0	0	0	0
Fads1	0	0	0	0	0	0	1.0	0	0	0	0
Fah	0	0	0	0	0	0	0	-1.0	0	0	0
Fam102a	0	0	0	0	0	0	1.0	0	0	0	0
Fam110a	0	0	0	0	0	0	0	0	0	0	-1.0
Fam117a	0	0	0	0	0	0	0	1.0	0	0	0
Fam118b	0	0	0	0	0	1.0	0	0	0	0	0
Fam124b	0	-1.0	0	0	0	0	0	0	0	0	0
Fam135a	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	-1.0
Fam166a	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	-1.0
Fam169b	0	0	0	0	0	0	1.0	0	0	0	0
Fam184a	0	0	0	0	-1.0	0	0	0	0	0	0
