	Cebpb	Creb1	Ebf1	Elf2	Esr1	Ets1	Etv1	Etv3	Fli1	Fosl2	Hey1	Hinfp	Hivep1	Insm1	Irf4	Klf14	Klf5	Klf7	Maf	Mtf1	Mxi1	Nfe2l2	Nfkb1	Pou2f2	Pparg	Prdm1	Rela	Stat3	Taf1	Tbx3	Zbtb33	Zbtb6	Zbtb7a
A930015d03rik	-0.5	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0
Aa465934	0	-0.5	0	0	0	-0.5	0	0	0	0	-0.5	0	0	-0.5	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-0.5
Aa467197	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Aa987161	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0	0	0	0	0.5
Aaas	0	0	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5
Aagab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Aak1	0	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Aamp	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0
Ab124611	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5
Abca1	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0	0	0.5
