	Dmrta1	E2f7	Ebf1	Egr2	Egr3	Elk3	Foxk1	Ikzf1	Klf8	Maz	Mlx	Mzf1	Nfyb	Nr3c1	Pparg	Runx2	Tfap4	Tfeb	Zbtb14	Zbtb7b	Zfp143
Immp2l	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5
Inadl	0	0	1.5	0	0	-0.5	0	0	1.5	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Insr	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	0	-0.5
Iqcg	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	1.5
Itgb2	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Itgb7	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
Itpkb	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	-1.0	0	0	0	0	0	0
Kank2	0	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	-1.5	0
Katnal1	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Kcnk6	0	0	0	-1.5	-1.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	-1.5	0
Kcnk7	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Kcnn4	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5
Kcnq5	0	0	1.5	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Keap1	0	0	0	1.5	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Kif22	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	1.5	1.5
Kif23	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0
Klf9	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5
Klhdc3	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Klhl7	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0
Lag3	0	0	0	1.5	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Lef1	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	1.5	0	0	0	1.5	1.5	0
Lfng	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	1.5	0	0	0	0
Limk2	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	1.5	0	0	0
Lonrf1	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
Lphn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Lpin2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Lrrc48	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-0.5	0	0	0
Lzts2	0	0	0	0	0	-1.5	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Man1a	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5
Mapkapk3	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	1.5	0
Maz	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	1.5	1.5
Mdfic	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5
Me1	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
Med31	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Mfhas1	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0
Mfsd11	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	1.5	1.5
Mgat4b	0	0	0	-1.5	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	-1.5	-1.5	0
Mgea5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Mical3	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir1192	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5
Mirlet7g	0	0	0	-1.5	-1.5	0	-1.0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Mllt4	0	0	1.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0
Mlx	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Mns1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Msrb3	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	1.5	0	0	0	0	0	0	-0.5
Mtfp1	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	0	1.5	0	0	0
Myo16	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo6	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0
Nab2	0	0	0	1.5	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Naga	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5
