	E2f1	E2f4	Elf1	Elf2	Elk1	Ets1	Etv6	Fos	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Sp1	Sp2	Sp4	Stat1	Stat3	Taf1	Tbp	Thap1	Ybx1	Yy1	Zfp105	Zfp143
Mcm10	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	0
Mical3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Micall1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Mllt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Mon1b	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Mpi	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0
Mrps31	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Mx1	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Mxi1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Myo7a	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Narfl	-0.33	0	-0.33	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	-0.33	0	0	-0.25	0	0	0
Ncald	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Ncapd2	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.33	-0.25	-0.25	-0.25	-0.58	0	-0.25
Nckipsd	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25
Nde1	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25
Neb	0	0	-0.33	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Nfkbid	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25
Nup43	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Oasl2	0	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Oma1	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0
Pask	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25
Pde4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Pde6d	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	-0.25
Pex6	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Phldb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
