	Atf3	Bcl6	E2f1	Egr1	Egr2	Fos	Jun	Klf4
Crtc2	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Crtc3	0	0	0	-0.5	-0.5	0	-0.5	-0.5
Csf1	0	0	0	-0.5	0	-0.5	0	0
Csf2rb	0	0	0	0	0	-0.5	0	0
Csf2rb2	0	0	0	-0.5	0	-0.5	0	-0.5
Csf3	0	0	0	-0.5	0	0	0	-0.5
Ctgf	0	0	0	-0.5	-0.5	0	0	0
Ctnna1	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Ctnnal1	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Ctse	0	0	0	-0.5	0	-0.5	-0.5	0
Cttnbp2nl	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Cuedc2	0	0	0	0	0	0	0	0.5
Cwc25	0	0	0	0	0	0	0	0.5
Cwf19l1	-0.5	0	-0.5	-0.5	0	0	-0.5	0
Cx3cl1	0	0	0	-0.5	0	-0.5	-0.5	0
Cxcl1	0	0	0	-0.5	-0.5	-0.5	-0.5	0
Cxcl2	0	0	0	0	0	0	0	0.5
Cxcr4	0	0	0	0	0	0	0	0.5
Cxxc5	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
Cyp20a1	-0.5	0	-0.5	-0.5	0	0	0	0
Cyp2ab1	0	0	0	-0.5	-0.5	0	0	0
Cyp2t4	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Cyp4f16	0	0	0	0	0	0	0	0.5
